id,gender,military_time,age,location_danger
932,Female,14:24,61,3.07
933,Female,1:25,37,1.27
934,Female,22:10,57,4.42
935,Male,23:45,41,3.14
936,Male,4:54,36,4.1
937,Female,12:07,84,4.66
938,Male,12:15,83,1.65
939,Male,15:35,96,1.97
940,Female,23:52,37,1.27
941,Male,19:55,48,2.47
942,Female,18:10,43,2.03
943,Male,0:27,17,0.92
944,Female,7:53,86,4.46
945,Male,18:24,44,4.96
946,Male,6:35,11,1.88
947,Female,7:33,44,3.58
948,Male,2:28,34,4.39
949,Female,4:45,50,4.82
950,Male,9:25,61,2.17
951,Male,10:54,99,3.72
952,Female,17:53,84,4.25
953,Male,23:07,59,4.78
954,Male,8:10,57,4.11
955,Male,5:18,56,4.51
956,Male,18:51,49,1.7
957,Female,21:54,50,0.74
958,Male,7:18,62,2.8
959,Male,3:54,42,3.98
960,Female,3:49,58,3.21
961,Male,3:25,26,0.64
962,Female,14:13,90,2.05
963,Male,11:47,98,2.51
964,Male,11:26,36,0.22
965,Male,0:05,18,0.93
966,Male,20:03,89,3.0
967,Male,13:06,16,0.81
968,Female,9:03,43,4.41
969,Female,8:41,52,2.96
970,Male,8:56,30,0.71
971,Male,21:19,92,1.41
972,Female,10:06,84,4.34
973,Female,18:36,75,2.88
974,Male,17:37,43,2.04
975,Female,14:20,62,2.01
976,Male,15:58,37,3.1
977,Male,12:10,23,3.92
978,Male,9:50,68,3.51
979,Female,20:52,25,1.98
980,Male,6:13,80,3.34
981,Female,15:07,49,2.94
982,Female,22:38,63,3.57
983,Female,1:34,100,0.87
984,Male,11:14,34,3.62
985,Female,1:13,31,3.58
986,Male,4:13,20,3.48
987,Male,14:57,12,4.08
988,Male,3:16,69,3.54
989,Male,10:18,99,2.08
990,Female,12:33,84,1.2
991,Male,18:35,85,1.73
992,Male,16:20,83,2.35
993,Female,3:27,10,1.22
994,Male,17:00,13,3.2
995,Male,15:08,52,0.58
996,Male,3:16,94,1.45
997,Female,8:04,45,1.1
998,Male,14:52,12,3.49
999,Female,11:39,84,0.55
1000,Male,20:36,60,0.42
